Marque,Modèle,Année,Kilométrage,Carburant,Boîte_vitesse,Puissance_fiscale,Nombre_portes,Etat_generale,Prix
Abarth,500,2011,180000,Essence,Manuelle,8,5,occasion,42500
Alfa Romeo,Giulietta,2018,146,Essence,Manuelle,7,5,occasion,39500
Alfa Romeo,Giulietta,2018,85,Essence,Manuelle,7,5,occasion,51000
Alfa Romeo,Giulietta,2018,80,Essence,Manuelle,7,5,occasion,49000
Alfa Romeo,Giulietta,2018,80,Essence,Automatique,9,5,occasion,47000
Alfa Romeo,Giulietta,2018,85,Essence,Automatique,9,5,occasion,44000
Alfa Romeo,Mito,2010,245000,Essence,Manuelle,5,3,occasion,26000
Alfa Romeo,Stelvio,2019,98000,Essence,Automatique,17,5,occasion,137000
Audi,A1 Sportback,2012,270,Diesel,Automatique,5,3,occasion,39500
Audi,A1 Sportback,2017,128,Essence,Manuelle,6,4,occasion,54900
Audi,A1 Sportback,2017,128,Essence,Automatique,6,5,occasion,83000
Audi,A1 Sportback,2012,199,Diesel,Automatique,5,5,occasion,37500
Audi,A1 Sportback,2012,270,Essence,Manuelle,5,5,occasion,43000
Audi,A1 Sportback,2017,95,Essence,Automatique,7,4,occasion,56000
Audi,A3 Berline,2019,122,Essence,Automatique,6,4,occasion,69000
Audi,A3 Berline,2014,156,Essence,Manuelle,6,5,occasion,55500
Audi,A3 Berline,2019,122,Essence,Automatique,6,4,occasion,85000
Audi,A3 Berline,2019,178,Essence,Automatique,6,4,occasion,81000
Audi,A3 Berline,2015,200,Essence,Manuelle,5,4,occasion,52000
Audi,A3 Berline,2015,200,Essence,Manuelle,5,4,occasion,55000
Audi,A3 Berline,2014,156,Essence,Manuelle,10,4,occasion,49000
Audi,A3 Berline,2017,156,Essence,Manuelle,6,4,occasion,65000
Audi,A3 Berline,2017,156,Essence,Automatique,6,4,occasion,72000
Audi,A3 Berline,2016,86,Essence,Manuelle,6,4,occasion,60000
Audi,A3 Sportback,2014,194,Essence,Manuelle,6,5,occasion,57000
Audi,A3 Sportback,2025,3,Essence,Automatique,8,5,occasion,135000
Audi,A3 Sportback,2025,4,Hybride rechargeable essence,Automatique,8,4,occasion,175000
Audi,A3 Sportback,2016,160,Essence,Manuelle,5,5,occasion,49500
Audi,A3 Sportback,2025,3,Hybride rechargeable essence,Automatique,8,4,occasion,175000
Audi,A3 Sportback,2020,93,Diesel,Manuelle,6,5,occasion,87000
Audi,A3 Sportback,2021,158,Essence,Manuelle,6,5,occasion,99500
Audi,A3 Sportback,2014,194,Diesel,Manuelle,6,5,occasion,37500
Audi,A3 Sportback,2021,158,Hybride rechargeable essence,Automatique,8,5,occasion,129000
Audi,A3 Sportback,2020,93,Essence,Manuelle,6,5,occasion,70000
Audi,A3 Sportback,2022,98,Essence,Automatique,8,5,occasion,120000
Audi,A3,2014,194,Essence,Automatique,5,5,occasion,45500
Audi,A3,2014,243,Essence,Manuelle,5,5,occasion,52000
Audi,A3,2014,194,Diesel,Manuelle,6,5,occasion,39000
Audi,A3,2014,243,Diesel,Manuelle,6,5,occasion,57000
Audi,A4,2011,218,Essence,Manuelle,7,4,occasion,37000
Audi,A4,2017,215,Essence,Automatique,8,4,occasion,79000
Audi,A4,2017,168,Essence,Automatique,8,4,occasion,69000
Audi,A4,2018,126,Essence,Automatique,8,5,occasion,82000
Audi,A4,2013,202,Essence,Manuelle,7,4,occasion,40000
Audi,A4,2013,202,Essence,Manuelle,7,4,occasion,49000
Audi,A4,2017,215,Essence,Automatique,8,4,occasion,70000
Audi,A4,2016,220,Essence,Manuelle,7,4,occasion,55000
Audi,A4,2012,177,Essence,Automatique,7,4,occasion,43000
Audi,A4,2018,97,Essence,Automatique,8,4,occasion,68000
Audi,A4,2011,233,Diesel,Automatique,7,5,occasion,22000
Audi,A4,2012,180,Essence,Manuelle,7,4,occasion,38000
Audi,A4,2018,97,Essence,Automatique,8,4,occasion,73000
Audi,A4,2015,67,Essence,Automatique,8,5,occasion,69000
Audi,A4,2014,178,Essence,Manuelle,7,4,occasion,34000
Audi,A4,2012,180,Essence,Manuelle,7,4,occasion,42000
Audi,A5 Cabriolet,2012,150000,Essence,Automatique,9,2,occasion,65000
Audi,A5 Sportback,2021,160,Essence,Automatique,8,5,occasion,140000
Audi,A5 Sportback,2018,98,Essence,Automatique,8,5,occasion,88500
Audi,A5 Sportback,2015,140,Diesel,Automatique,8,4,occasion,67000
Audi,A5 Sportback,2021,94,Essence,Automatique,8,5,occasion,95000
Audi,A5 Sportback,2020,97,Essence,Automatique,8,5,occasion,123000
Audi,A5 Sportback,2018,98,Essence,Automatique,8,5,occasion,119000
Audi,A5 Sportback,2020,164,Essence,Automatique,8,5,occasion,138000
Audi,A5 Sportback,2020,140,Essence,Automatique,8,4,occasion,129000
Audi,A5 Sportback,2021,96,Essence,Automatique,8,4,occasion,175000
Audi,A5 Sportback,2021,79,Essence,Automatique,8,5,occasion,128000
Audi,A5 Sportback,2020,97,Essence,Automatique,8,5,occasion,115000
Audi,A5 Sportback,2020,125,Essence,Automatique,8,5,occasion,97000
Audi,A5 Sportback,2020,158,Essence,Automatique,8,4,occasion,118000
Audi,A5 Sportback,2018,215,Essence,Automatique,10,4,occasion,59000
Audi,A5 Sportback,2021,96,Essence,Automatique,8,4,occasion,158000
Audi,A5 Sportback,2018,115,Essence,Automatique,8,4,occasion,118000
Audi,A6,2011,240,Essence,Automatique,11,4,occasion,42000
Audi,A6,2012,239,Essence,Automatique,10,4,occasion,46000
Audi,A6,2011,240,Diesel,Manuelle,9,4,occasion,64000
Audi,A6,2012,239,Essence,Automatique,10,4,occasion,75000
Audi,E Tron Sportback,2020,32000,Electrique,Automatique,12,5,occasion,159000
Audi,E Tron,2019,55,Electrique,Automatique,12,5,occasion,160000
Audi,E Tron,2020,72,Electrique,Automatique,12,5,occasion,170000
Audi,E Tron,2020,72,Electrique,Automatique,12,4,occasion,180000
Audi,Q2,2021,38,Essence,Automatique,8,5,occasion,97000
Audi,Q2,2021,38,Essence,Automatique,8,4,occasion,116000
Audi,Q2,2021,59,Essence,Automatique,8,5,occasion,110000
Audi,Q2,2021,46,Essence,Automatique,8,5,occasion,119000
Audi,Q2,2021,59,Essence,Automatique,6,4,occasion,85000
Audi,Q3 Sportback,2021,85,Essence,Automatique,9,4,occasion,135000
Audi,Q3 Sportback,2020,120,Hybride léger essence,Automatique,8,4,occasion,145000
Audi,Q3 Sportback,2021,70,Hybride rechargeable essence,Automatique,8,5,occasion,160000
Audi,Q3 Sportback,2022,45,Hybride rechargeable essence,Automatique,8,5,occasion,159000
