Marque,Modèle,Année,Kilométrage,Carburant,Boîte_vitesse,Puissance_fiscale,Nombre_portes,Etat_generale,Prix
Nissan,Juke,2013.0,180 000 km,Essence,Manuelle,7,,Occasion,39500
Suzuki,Vitara,2017.0,210 000 km,Essence,Automatique,6,,Occasion,0
Peugeot,406,2000.0,,Essence,Manuelle,7,,Occasion,0
Renault,Megane,2017.0,230 000 km,Essence,Manuelle,7,5.0,Occasion,0
Suzuki,Samurai,2025.0,,Essence,Manuelle,6,2.0,Occasion,20000
Toyota,Hilux,2006.0,462 000 km,Diesel,Manuelle,10,4.0,Occasion,0
Citroen,C3,2017.0,126 000 km,Essence,Manuelle,4,4.0,Occasion,0
Citroen,JUMPY,2020.0,120 000 km,Diesel,Manuelle,6,4.0,Occasion,0
Dongfeng,S50,2022.0,125 000 km,Essence,Manuelle,6,5.0,Occasion,41000
Citroen,C3,2021.0,86 000 km,Essence,Manuelle,4,5.0,Occasion,45000
Mazda,MAZDA2,2017.0,245 000 km,Essence,Manuelle,6,5.0,Occasion,33000
Renault,Megane,2007.0,273 000 km,Diesel,Manuelle,5,5.0,Occasion,18000
Renault,Clio,2017.0,114 000 km,Essence,Manuelle,5,4.0,Occasion,38000
Ford,C MAX,2010.0,340 000 km,Diesel,Manuelle,6,4.0,Occasion,24500
Opel,Corsa,,,Essence,Manuelle,4,,Occasion,0
Seat,Leon,2017.0,186 000 km,Essence,Manuelle,6,,Occasion,43500
Renault,Symbol,2011.0,240 000 km,Essence,Manuelle,5,,Occasion,0
Volkswagen,Golf 5,2007.0,,Essence,Manuelle,5,,Occasion,0
Dacia,DUSTER,2020.0,,Diesel,Manuelle,5,,Occasion,43000
Citroen,BERLINGO,2011.0,,Diesel,Manuelle,0,,Occasion,22500
Citroen,DS,2016.0,120 000 km,Essence,Manuelle,5,,Occasion,30000
Volkswagen,Polo,,165 000 km,Essence,Manuelle,4,,Occasion,21500
Ssangyong,Tivoli,2017.0,190 000 km,Essence,Automatique,7,5.0,Occasion,42000
Renault,Clio,2002.0,225 000 km,Essence,Manuelle,4,,Occasion,14000
Volkswagen,Golf 6,2010.0,230 000 km,Essence,Manuelle,5,,Occasion,37000
Citroen,C4,,26 000 km,Diesel,Manuelle,5,,Occasion,24000
Ford,FIESTA,2011.0,196 000 km,Essence,Manuelle,5,4.0,Occasion,26000
Peugeot,208,2021.0,50 000 km,Essence,Manuelle,5,2.0,Occasion,0
Fiat,GRANDE PUNTO,2017.0,143 000 km,Essence,Manuelle,4,5.0,Occasion,28000
Renault,Clio,2020.0,91 000 km,Essence,Manuelle,5,4.0,Occasion,39000
Dacia,AUTRE,2022.0,80 000 km,Essence,Manuelle,5,5.0,Occasion,75000
Dacia,LOGAN,2011.0,300 000 km,Diesel,Manuelle,4,4.0,Occasion,13000
Dongfeng,AUTRE,2021.0,83 000 km,Essence,Manuelle,8,5.0,Occasion,52000
Volkswagen,Amarok,2011.0,225 000 km,Diesel,Manuelle,8,4.0,Occasion,65000
Volkswagen,Golf 7,2013.0,220 000 km,Diesel,Manuelle,0,,Occasion,55000
Mercedes,190-series,1991.0,530 000 km,Diesel,Manuelle,7,4.0,Occasion,0
Renault,Megane,2020.0,112 000 km,Essence,Manuelle,7,4.0,Occasion,49000
Citroen,JUMPY,2020.0,120 000 km,Diesel,Manuelle,6,5.0,Occasion,57000
Citroen,C3,2021.0,,Essence,Manuelle,5,,Occasion,46500
Volkswagen,Passat,2014.0,152 650 km,Diesel,Manuelle,5,5.0,Occasion,55000
Peugeot,205,,,Essence,Manuelle,4,,Occasion,0
Fiat,PUNTO,2016.0,150 000 km,GPL,Manuelle,4,4.0,Occasion,13500
Volkswagen,Polo,,196 000 km,Essence,Manuelle,5,,Occasion,15900
Isuzu,VEHI CROSS,2021.0,115 000 km,Diesel,Manuelle,0,,Occasion,0
Renault,Autres,,,Essence,Manuelle,4,,Occasion,12800
Renault,Symbol,2013.0,190 000 km,Essence,Manuelle,5,,Occasion,0
Renault,Autres,2002.0,341 km,Diesel,Manuelle,6,4.0,Occasion,16200
Volkswagen,Golf 5,2008.0,300 km,Diesel,Manuelle,6,4.0,Occasion,30500
Peugeot,508,2013.0,242 km,Essence,Automatique,7,5.0,Occasion,30
Peugeot,308,2019.0,158 000 km,Essence,Manuelle,6,4.0,Occasion,42000
Kia,PICANTO,2016.0,133 000 km,Essence,Manuelle,5,,Occasion,34000
Citroen,NEMO,2017.0,206 000 km,Diesel,Manuelle,5,4.0,Occasion,23500
Chevrolet,SPARK,2016.0,124 000 km,Essence,Manuelle,5,5.0,Occasion,26500
Hyundai,I10,2015.0,,Essence,Manuelle,4,,Occasion,28000
Renault,Megane,2020.0,112 000 km,Essence,Manuelle,7,4.0,Occasion,49000
Toyota,Aygo,2022.0,57 000 km,Essence,Manuelle,5,4.0,Occasion,36500
Volkswagen,Touareg,2004.0,150 000 km,Essence,Automatique,0,5.0,Occasion,10000
Mercedes,Classe A,2006.0,209 000 km,Essence,Manuelle,6,4.0,Occasion,20000
Citroen,BERLINGO,2010.0,295 000 km,Diesel,Manuelle,5,4.0,Occasion,35500
Peugeot,208,2017.0,129 000 km,Essence,Manuelle,5,,Occasion,0
Volkswagen,Polo,2004.0,204 000 km,Essence,Manuelle,5,,Occasion,0
Nissan,Juke,2010.0,160 700 km,Essence,Manuelle,7,5.0,Occasion,41900
Nissan,X-trail,2017.0,122 300 km,Diesel,Manuelle,7,5.0,Occasion,62000
Fiat,126,2015.0,,Diesel,Manuelle,4,2.0,Occasion,18000
Mitsubishi,Lancer,2010.0,216 000 km,Essence,Automatique,9,4.0,Occasion,25000
Toyota,Aygo,2022.0,57 000 km,Essence,Manuelle,5,4.0,Occasion,36500
Kia,RIO,2013.0,250 000 km,Essence,,5,,Occasion,0
Hyundai,ACCENT,,350 000 km,Essence,Manuelle,6,,Occasion,29800
Hyundai,I10,2021.0,143 000 km,Essence,Manuelle,5,,Occasion,32500
Renault,Megane,2012.0,,,Manuelle,0,,Occasion,29500
Peugeot,Partner,,246 000 km,Diesel,Manuelle,0,,Occasion,33500
Kia,RIO,2017.0,160 000 km,Essence,Manuelle,4,,Occasion,39000
Kia,SPORTAGE,2015.0,143 000 km,Essence,Manuelle,8,,Occasion,55000
Citroen,BERLINGO,2011.0,254 000 km,Diesel,Manuelle,7,3.0,Occasion,18000
