Marque,Modèle,Année,Kilométrage,Carburant,Boîte_vitesse,Puissance_fiscale,Nombre_portes,Etat_generale,Prix
Abarth,500,2011.0,180000,Essence,Manuelle,8,5.0,occasion,42500
Alfa Romeo,Giulietta,2018.0,146,Essence,Manuelle,7,5.0,occasion,39500
Alfa Romeo,Giulietta,2018.0,85,Essence,Manuelle,7,5.0,occasion,51000
Alfa Romeo,Giulietta,2018.0,80,Essence,Manuelle,7,5.0,occasion,49000
Alfa Romeo,Giulietta,2018.0,80,Essence,Automatique,9,5.0,occasion,47000
Alfa Romeo,Giulietta,2018.0,85,Essence,Automatique,9,5.0,occasion,44000
Alfa Romeo,Mito,2010.0,245000,Essence,Manuelle,5,3.0,occasion,26000
Alfa Romeo,Stelvio,2019.0,98000,Essence,Automatique,17,5.0,occasion,137000
Audi,A1 Sportback,2012.0,270,Diesel,Automatique,5,3.0,occasion,39500
Audi,A1 Sportback,2017.0,128,Essence,Manuelle,6,4.0,occasion,54900
Audi,A1 Sportback,2017.0,128,Essence,Automatique,6,5.0,occasion,83000
Audi,A1 Sportback,2012.0,199,Diesel,Automatique,5,5.0,occasion,37500
Audi,A1 Sportback,2012.0,270,Essence,Manuelle,5,5.0,occasion,43000
Audi,A1 Sportback,2017.0,95,Essence,Automatique,7,4.0,occasion,56000
Audi,A3 Berline,2019.0,122,Essence,Automatique,6,4.0,occasion,69000
Audi,A3 Berline,2014.0,156,Essence,Manuelle,6,5.0,occasion,55500
Audi,A3 Berline,2019.0,122,Essence,Automatique,6,4.0,occasion,85000
Audi,A3 Berline,2019.0,178,Essence,Automatique,6,4.0,occasion,81000
Audi,A3 Berline,2015.0,200,Essence,Manuelle,5,4.0,occasion,52000
Audi,A3 Berline,2015.0,200,Essence,Manuelle,5,4.0,occasion,55000
Audi,A3 Berline,2014.0,156,Essence,Manuelle,10,4.0,occasion,49000
Audi,A3 Berline,2017.0,156,Essence,Manuelle,6,4.0,occasion,65000
Audi,A3 Berline,2017.0,156,Essence,Automatique,6,4.0,occasion,72000
Audi,A3 Berline,2016.0,86,Essence,Manuelle,6,4.0,occasion,60000
Audi,A3 Sportback,2014.0,194,Essence,Manuelle,6,5.0,occasion,57000
Audi,A3 Sportback,2025.0,3,Essence,Automatique,8,5.0,occasion,135000
Audi,A3 Sportback,2025.0,4,Hybride rechargeable essence,Automatique,8,4.0,occasion,175000
Audi,A3 Sportback,2016.0,160,Essence,Manuelle,5,5.0,occasion,49500
Audi,A3 Sportback,2025.0,3,Hybride rechargeable essence,Automatique,8,4.0,occasion,175000
Audi,A3 Sportback,2020.0,93,Diesel,Manuelle,6,5.0,occasion,87000
Audi,A3 Sportback,2021.0,158,Essence,Manuelle,6,5.0,occasion,99500
Audi,A3 Sportback,2014.0,194,Diesel,Manuelle,6,5.0,occasion,37500
Audi,A3 Sportback,2021.0,158,Hybride rechargeable essence,Automatique,8,5.0,occasion,129000
Audi,A3 Sportback,2020.0,93,Essence,Manuelle,6,5.0,occasion,70000
Audi,A3 Sportback,2022.0,98,Essence,Automatique,8,5.0,occasion,120000
Audi,A3,2014.0,194,Essence,Automatique,5,5.0,occasion,45500
Audi,A3,2014.0,243,Essence,Manuelle,5,5.0,occasion,52000
Audi,A3,2014.0,194,Diesel,Manuelle,6,5.0,occasion,39000
Audi,A3,2014.0,243,Diesel,Manuelle,6,5.0,occasion,57000
Audi,A4,2011.0,218,Essence,Manuelle,7,4.0,occasion,37000
Audi,A4,2017.0,215,Essence,Automatique,8,4.0,occasion,79000
Audi,A4,2017.0,168,Essence,Automatique,8,4.0,occasion,69000
Audi,A4,2018.0,126,Essence,Automatique,8,5.0,occasion,82000
Audi,A4,2013.0,202,Essence,Manuelle,7,4.0,occasion,40000
Audi,A4,2013.0,202,Essence,Manuelle,7,4.0,occasion,49000
Audi,A4,2017.0,215,Essence,Automatique,8,4.0,occasion,70000
