Marque,Modèle,Année,Kilométrage,Carburant,Boîte_vitesse,Puissance_fiscale,Nombre_portes,Etat_generale,Prix
Abarth,500,2011.0,180000,Essence,Manuelle,8,5,Occasion,42500
Alfa Romeo,Giulietta,2018.0,146,Essence,Manuelle,7,5,Occasion,39500
Alfa Romeo,Giulietta,2018.0,85,Essence,Manuelle,7,5,Occasion,51000
Alfa Romeo,Giulietta,2018.0,80,Essence,Manuelle,7,5,Occasion,49000
Alfa Romeo,Giulietta,2018.0,80,Essence,Automatique,9,5,Occasion,47000
Alfa Romeo,Giulietta,2018.0,85,Essence,Automatique,9,5,Occasion,44000
Alfa Romeo,Mito,2010.0,245000,Essence,Manuelle,5,3,Occasion,26000
Alfa Romeo,Stelvio,2019.0,98000,Essence,Automatique,17,5,Occasion,137000
Audi,A1 Sportback,2012.0,270,Diesel,Automatique,5,3,Occasion,39500
Audi,A1 Sportback,2017.0,128,Essence,Manuelle,6,4,Occasion,54900
Audi,A1 Sportback,2017.0,128,Essence,Automatique,6,5,Occasion,83000
Audi,A1 Sportback,2012.0,199,Diesel,Automatique,5,5,Occasion,37500
Audi,A1 Sportback,2012.0,270,Essence,Manuelle,5,5,Occasion,43000
Audi,A1 Sportback,2017.0,95,Essence,Automatique,7,4,Occasion,56000
Audi,A3 Berline,2019.0,122,Essence,Automatique,6,4,Occasion,69000
Audi,A3 Berline,2014.0,156,Essence,Manuelle,6,5,Occasion,55500
Audi,A3 Berline,2019.0,122,Essence,Automatique,6,4,Occasion,85000
Audi,A3 Berline,2019.0,178,Essence,Automatique,6,4,Occasion,81000
Audi,A3 Berline,2015.0,200,Essence,Manuelle,5,4,Occasion,52000
Audi,A3 Berline,2015.0,200,Essence,Manuelle,5,4,Occasion,55000
Audi,A3 Berline,2014.0,156,Essence,Manuelle,10,4,Occasion,49000
Audi,A3 Berline,2017.0,156,Essence,Manuelle,6,4,Occasion,65000
Audi,A3 Berline,2017.0,156,Essence,Automatique,6,4,Occasion,72000
Audi,A3 Berline,2016.0,86,Essence,Manuelle,6,4,Occasion,60000
Audi,A3 Sportback,2014.0,194,Essence,Manuelle,6,5,Occasion,57000
Audi,A3 Sportback,2025.0,3,Essence,Automatique,8,5,Occasion,135000
Audi,A3 Sportback,2025.0,4,Hybride,Automatique,8,4,Occasion,175000
Audi,A3 Sportback,2016.0,160,Essence,Manuelle,5,5,Occasion,49500
Audi,A3 Sportback,2025.0,3,Hybride,Automatique,8,4,Occasion,175000
Audi,A3 Sportback,2020.0,93,Diesel,Manuelle,6,5,Occasion,87000
Audi,A3 Sportback,2021.0,158,Essence,Manuelle,6,5,Occasion,99500
Audi,A3 Sportback,2014.0,194,Diesel,Manuelle,6,5,Occasion,37500
Audi,A3 Sportback,2021.0,158,Hybride,Automatique,8,5,Occasion,129000
Audi,A3 Sportback,2020.0,93,Essence,Manuelle,6,5,Occasion,70000
Audi,A3 Sportback,2022.0,98,Essence,Automatique,8,5,Occasion,120000
Audi,A3,2014.0,194,Essence,Automatique,5,5,Occasion,45500
Audi,A3,2014.0,243,Essence,Manuelle,5,5,Occasion,52000
Audi,A3,2014.0,194,Diesel,Manuelle,6,5,Occasion,39000
Audi,A3,2014.0,243,Diesel,Manuelle,6,5,Occasion,57000
Audi,A4,2011.0,218,Essence,Manuelle,7,4,Occasion,37000
Audi,A4,2017.0,215,Essence,Automatique,8,4,Occasion,79000
Audi,A4,2017.0,168,Essence,Automatique,8,4,Occasion,69000
Audi,A4,2018.0,126,Essence,Automatique,8,5,Occasion,82000
Audi,A4,2013.0,202,Essence,Manuelle,7,4,Occasion,40000
Audi,A4,2013.0,202,Essence,Manuelle,7,4,Occasion,49000
Audi,A4,2017.0,215,Essence,Automatique,8,4,Occasion,70000
Audi,A4,2016.0,220,Essence,Manuelle,7,4,Occasion,55000
Audi,A4,2012.0,177,Essence,Automatique,7,4,Occasion,43000
Audi,A4,2018.0,97,Essence,Automatique,8,4,Occasion,68000
Audi,A4,2011.0,233,Diesel,Automatique,7,5,Occasion,22000
Audi,A4,2012.0,180,Essence,Manuelle,7,4,Occasion,38000
Audi,A4,2018.0,97,Essence,Automatique,8,4,Occasion,73000
Audi,A4,2015.0,67,Essence,Automatique,8,5,Occasion,69000
Audi,A4,2014.0,178,Essence,Manuelle,7,4,Occasion,34000
Audi,A4,2012.0,180,Essence,Manuelle,7,4,Occasion,42000
Audi,A5 Cabriolet,2012.0,150000,Essence,Automatique,9,2,Occasion,65000
Audi,A5 Sportback,2021.0,160,Essence,Automatique,8,5,Occasion,140000
Audi,A5 Sportback,2018.0,98,Essence,Automatique,8,5,Occasion,88500
Audi,A5 Sportback,2015.0,140,Diesel,Automatique,8,4,Occasion,67000
Audi,A5 Sportback,2021.0,94,Essence,Automatique,8,5,Occasion,95000
Audi,A5 Sportback,2020.0,97,Essence,Automatique,8,5,Occasion,123000
Audi,A5 Sportback,2018.0,98,Essence,Automatique,8,5,Occasion,119000
Audi,A5 Sportback,2020.0,164,Essence,Automatique,8,5,Occasion,138000
Audi,A5 Sportback,2020.0,140,Essence,Automatique,8,4,Occasion,129000
Audi,A5 Sportback,2021.0,96,Essence,Automatique,8,4,Occasion,175000
Audi,A5 Sportback,2021.0,79,Essence,Automatique,8,5,Occasion,128000
Audi,A5 Sportback,2020.0,97,Essence,Automatique,8,5,Occasion,115000
Audi,A5 Sportback,2020.0,125,Essence,Automatique,8,5,Occasion,97000
Audi,A5 Sportback,2020.0,158,Essence,Automatique,8,4,Occasion,118000
Audi,A5 Sportback,2018.0,215,Essence,Automatique,10,4,Occasion,59000
Audi,A5 Sportback,2021.0,96,Essence,Automatique,8,4,Occasion,158000
Audi,A5 Sportback,2018.0,115,Essence,Automatique,8,4,Occasion,118000
Audi,A6,2011.0,240,Essence,Automatique,11,4,Occasion,42000
Audi,A6,2012.0,239,Essence,Automatique,10,4,Occasion,46000
Audi,A6,2011.0,240,Diesel,Manuelle,9,4,Occasion,64000
Audi,A6,2012.0,239,Essence,Automatique,10,4,Occasion,75000
Audi,E Tron Sportback,2020.0,32000,Electrique,Automatique,12,5,Occasion,159000
Audi,E Tron,2019.0,55,Electrique,Automatique,12,5,Occasion,160000
Audi,E Tron,2020.0,72,Electrique,Automatique,12,5,Occasion,170000
Audi,E Tron,2020.0,72,Electrique,Automatique,12,4,Occasion,180000
Audi,Q2,2021.0,38,Essence,Automatique,8,5,Occasion,97000
Audi,Q2,2021.0,38,Essence,Automatique,8,4,Occasion,116000
Audi,Q2,2021.0,59,Essence,Automatique,8,5,Occasion,110000
Audi,Q2,2021.0,46,Essence,Automatique,8,5,Occasion,119000
Audi,Q2,2021.0,59,Essence,Automatique,6,4,Occasion,85000
Audi,Q3 Sportback,2021.0,85,Essence,Automatique,9,4,Occasion,135000
Audi,Q3 Sportback,2020.0,120,Hybride,Automatique,8,4,Occasion,145000
Audi,Q3 Sportback,2021.0,70,Hybride,Automatique,8,5,Occasion,160000
Audi,Q3 Sportback,2022.0,45,Hybride,Automatique,8,5,Occasion,159000
Audi,Q3 Sportback,2020.0,68,Essence,Automatique,9,4,Occasion,168000
Audi,Q3 Sportback,2022.0,45,Hybride,Automatique,8,5,Occasion,158000
Audi,Q3 Sportback,2021.0,122,Essence,Automatique,9,5,Occasion,139000
Audi,Q3 Sportback,2020.0,116,Diesel,Automatique,8,5,Occasion,150000
Audi,Q3 Sportback,2021.0,70,Hybride,Automatique,8,5,Occasion,162000
Audi,Q3 Sportback,2020.0,116,Essence,Manuelle,8,5,Occasion,125000
Audi,Q3 Sportback,2020.0,62,Essence,Automatique,9,5,Occasion,140000
Audi,Q3,2016.0,121,Essence,Automatique,8,5,Occasion,78000
Audi,Q3,2015.0,141,Essence,Automatique,10,5,Occasion,68000
Audi,Q3,2021.0,104,Essence,Automatique,9,5,Occasion,155000
Audi,Q3,2020.0,45,Essence,Automatique,9,4,Occasion,115000
Audi,Q3,2017.0,190,Essence,Automatique,8,5,Occasion,82500
Audi,Q3,2019.0,112,Essence,Automatique,9,5,Occasion,117000
Audi,Q3,2017.0,215,Essence,Automatique,8,5,Occasion,81000
Audi,Q3,2018.0,160,Essence,Automatique,8,5,Occasion,99000
Audi,Q3,2019.0,112,Hybride,Automatique,9,4,Occasion,150000
Audi,Q3,2017.0,215,Essence,Automatique,8,5,Occasion,98000
Audi,Q3,2019.0,129,Essence,Automatique,9,4,Occasion,118000
Audi,Q3,2018.0,71,Essence,Automatique,8,5,Occasion,80000
Audi,Q3,2017.0,125,Essence,Automatique,8,5,Occasion,85000
Audi,Q3,2017.0,64,Essence,Automatique,8,5,Occasion,79000
Audi,Q3,2017.0,190,Essence,Automatique,8,5,Occasion,65500
Audi,Q3,2017.0,190,Essence,Automatique,8,5,Occasion,75000
Audi,Q3,2023.0,70,Essence,Automatique,9,5,Occasion,115000
Audi,Q4 E Tron,2022.0,40000,Electrique,Automatique,11,4,Occasion,170000
Audi,Q5,2008.0,370,Essence,Automatique,13,4,Occasion,45000
Audi,Q5,2014.0,32,Essence,Manuelle,14,4,Occasion,59000
Audi,Q5,2009.0,194,Diesel,Automatique,15,5,Occasion,60000
Audi,Q5,2020.0,149,Essence,Automatique,12,5,Occasion,195000
Audi,Q5,2016.0,112,Essence,Automatique,15,5,Occasion,90000
Audi,Q5,2014.0,260,Diesel,Automatique,10,5,Occasion,72000
Audi,Q5,2016.0,112,Essence,Automatique,13,4,Occasion,95000
Audi,Q5,2016.0,69,Diesel,Automatique,8,5,Occasion,96000
Audi,Q5,2020.0,149,Hybride,Automatique,15,5,Occasion,205000
Audi,Q5,2020.0,74,Hybride,Automatique,16,4,Occasion,225000
Audi,Q5,2016.0,69,Diesel,Manuelle,8,5,Occasion,135000
Audi,Q5,2020.0,111,Hybride,Automatique,9,5,Occasion,158000
Audi,Q5,2019.0,85,Diesel,Automatique,11,5,Occasion,136000
Audi,Q5,2013.0,258,Diesel,Manuelle,8,5,Occasion,78000
Audi,Q5,2014.0,230,Diesel,Manuelle,8,5,Occasion,119000
Audi,Q5,2018.0,256,Diesel,Automatique,11,5,Occasion,229500
Audi,Q7,2010.0,262,Diesel,Automatique,16,4,Occasion,99000
Audi,Q7,2007.0,248,Diesel,Automatique,16,5,Occasion,58000
Audi,Q7,2008.0,350,Diesel,Automatique,16,5,Occasion,59000
Audi,Q7,2019.0,175,Diesel,Automatique,15,5,Occasion,230000
Audi,Q7,2008.0,350,Diesel,Automatique,16,5,Occasion,64000
Audi,Q7,2019.0,84,Essence,Automatique,16,5,Occasion,395000
Audi,Q7,2019.0,84,Diesel,Automatique,15,4,Occasion,260000
Audi,Q8 E Tron,2023.0,26000,Electrique,Automatique,12,5,Occasion,185000
Audi,Q8 Sportback E Tron,2025.0,214,Electrique,Automatique,12,4,Occasion,300000
Audi,Q8,2021.0,22,Hybride,Automatique,23,5,Occasion,360000
Audi,Q8,2021.0,22,Hybride,Automatique,23,5,Occasion,350000
Audi,Q8,2021.0,71,Hybride,Automatique,19,4,Occasion,288000
Audi,Tt,2022.0,42000,Essence,Automatique,15,3,Occasion,235000
Baic Yx,Kenbo S3,2018.0,110000,Essence,Manuelle,7,4,Occasion,38000
Bmw,I4,2025.0,3,Electrique,Automatique,6,4,Occasion,176000
Bmw,I4,2023.0,7,Electrique,Automatique,7,5,Occasion,220000
Bmw,Ix,2023.0,32000,Electrique,Automatique,7,4,Occasion,228000
Bmw,Ix3,2022.0,48,Electrique,Automatique,6,4,Occasion,165000
Bmw,Ix3,2022.0,51,Electrique,Automatique,6,5,Occasion,167000
Bmw,Serie 1 3P,2010.0,182000,Essence,Manuelle,7,3,Occasion,36000
